book_id,title,authors,text_features_combined,title_length,author_count,tag_count,rating_std,rating_skew,high_rating_ratio,genre,genre_encoded
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,the hunger games the hunger games 1 suzanne collins favorites ownit dystopianfiction comingofage readin2013 distopia loved favs lovetriangle love,35,1,10,0.8769132785007733,-1.4328751217860043,0.8472911247955179,romance,11
41865,"Twilight (Twilight, #1)",Stephenie Meyer,twilight twilight 1 stephenie meyer youngadult neveragain english completedseries movie currentlyreading guiltypleasure yaparanormal finishedseries sciencefiction,19,1,10,1.3634212111485582,-0.561197830349418,0.5694695498189349,young-adult,13
2657,To Kill a Mockingbird,Harper Lee,to kill a mockingbird harper lee classics books mustread toreread schoolreading kindle 1001 audiobooks classiclit readagain,21,1,10,0.9409002758407987,-1.3007062438392547,0.8130211176881891,classics,1
4671,The Great Gatsby,F. Scott Fitzgerald,the great gatsby f scott fitzgerald classics theclassics fscottfitzgerald usa requiredreading rorygilmorereadingchallenge favorite readin2015 newyork readinenglish,16,1,10,1.054667426922171,-0.7748643216286056,0.6791287591325086,classics,1
11870085,The Fault in Our Stars,John Green,the fault in our stars john green favorites teenfiction reread onmyshelf novel 2014books favouritebooks reviewed favs finished,22,1,10,0.9568298640675819,-1.334583961404133,0.8110766966471921,fiction,3
5907,The Hobbit,J.R.R. Tolkien,the hobbit jrr tolkien fantasy 1001 childhoodfavorites readin2014 britishliterature scifiandfantasy 5stars adultfiction readmorethanonce kids,10,1,10,0.953498877216897,-1.328330430945658,0.8127028794947581,fantasy,2
5107,The Catcher in the Rye,J.D. Salinger,the catcher in the rye jd salinger classics schoolreads readin2015 historicalfiction wishlist readinschool ownit abandoned toreadclassics bildungsroman,22,1,10,1.1485227767030108,-0.7478012633413155,0.6463586177172237,classics,1
960,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,angels demons robert langdon 1 dan brown toread thrillersuspense paperback ebooks religious bookclub alltimefavorites americanliterature detective brown,30,1,10,1.069533945785335,-0.7859035178497419,0.6719140408148343,mystery,8
1885,Pride and Prejudice,Jane Austen,pride and prejudice jane austen classics faves forschool readin2015 abandoned generalfiction favourite toreread readmorethanonce theclassics,19,1,10,0.9902097676808218,-1.3628041254721364,0.8055926058595506,classics,1
13335037,"Divergent (Divergent, #1)",Veronica Roth,divergent divergent 1 veronica roth favorites distopia finished 2013reads dystopias trilogy reread novels mylibrary love,21,1,10,0.939459908293376,-1.2356128297748956,0.8062615988531289,romance,11
5470,1984,"George Orwell, Erich Fromm, Celâl Üster",1984 george orwell fiction distopia audio literary classiclit scififantasy toreread wishlist روايات ebook,4,3,10,0.9659301576961595,-1.1028928760735033,0.7793195071184585,fiction,3
7613,Animal Farm,George Orwell,animal farm george orwell classics classiclit schoolreading scififantasy favorite historical 1001bookstoreadbeforeyoudie readinenglish iown readin2016,11,1,10,1.0513167197747597,-0.7897501634876841,0.679557657211066,classics,1
